,Comida,Comida Cap,Comida May,Calorias,Categoria,Hidratos de C,Grasas,Proteinas,Colesterol,Fibra,Catalán
111,aros de cebolla,Aros de cebolla,AROS DE CEBOLLA,332,Comida rapida,"37,74","18,69","4,46",17,"1,8",anelles de ceba
112,peras,Peras,PERAS,90,Frutas,"21,2",0,"0,8",0,"4,6",peres
113,mostaza,Mostaza,MOSTAZA,133,Hierbas y especias,5,10,"5,9",0,"1,3",mostassa
114,sesamo,Sesamo,SESAMO,562,Hierbas y especias,10,50,19,0,11,sèsam
115,paté,Paté,PATÉ,290,Productos avicolas,"11,3",28,"11,9",96,0,paté
116,ravioli,Ravioli,RAVIOLI,101,Cereales y derivados,"12,7","3,36","4,7",23,"1,8",ravioli
117,frijoles,Frijoles,FRIJOLES,247,Legumbres,"35,11","0,83","23,58",0,"24,9",fesols
118,mantequilla de almendra,Mantequilla de almendra,MANTEQUILLA DE ALMENDRA,633,Frutos secos,"21,22","59,1","15,08",0,"3,7",mantega d'ametlla
119,almendras,Almendras,ALMENDRAS,589,Frutos secos,"6,2","45,22","19,13",0,"8,34",ametlles
120,avellana,Avellana,AVELLANA,656,Frutos secos,"10,5","56,25",12,0,"8,22",avellana
121,jalapeño,Jalapeño,JALAPEÑO,27,Vegetales,"4,7","0,94","0,92",0,"2,6",jalapeño
122,cabra,Cabra,CABRA,109,Carnes,0,"2,31","20,6",57,0,cabra
123,sprite,Sprite,SPRITE,84,Bebidas,21,0,0,0,0,sprite
124,leche de coco,Leche de coco,LECHE DE COCO,209,Bebidas,"2,8","21,3",2,0,0,llet de coco
125,nuez,Nuez,NUEZ,595,Frutos secos,"3,3","63,28",14,0,"5,2",nou
126,vinagre,Vinagre,VINAGRE,4,Salsas,"0,6",0,"0,4",0,0,vinagre
127,cerveza de raíz,Cerveza de raíz,CERVEZA DE RAÍZ,42,Bebidas Alcoholicas,"3,12",0,"0,5",0,0,cervesa d'arrel
128,aguacate,Aguacate,AGUACATE,137,Vegetales,"0,4",12,"1,5",0,"6,3",alvocat
129,wasabi,Wasabi,WASABI,105,Hierbas y especias,"22,63","0,61","4,62",0,"7,5",wasabi
130,romero,Romero,ROMERO,345,Hierbas y especias,"46,4","15,2",5,0,"24,1",romaní
131,almendra,Almendra,ALMENDRA,656,Frutos secos,"10,5","56,25",12,0,"8,22",ametlla
132,nata,Nata,NATA,202,Productos lacteos,"3,4","19,98","2,51",70,0,nata
133,ciruela,Ciruela,CIRUELA,54,Frutas,12,"0,2","0,75",0,"2,3",pruna
134,olivas,Olivas,OLIVAS,120,Vegetales,1,"12,5","1,3",0,"4,8",olives
135,barra de helado,Barra de helado,BARRA DE HELADO,200,Productos lacteos,"27,6","8,4","3,2",29,"0,9",barra de gelat
136,yema de huevo,Yema de huevo,YEMA DE HUEVO,356,Productos avicolas,"2,3","31,5","16,5",1100,0,rovell d'ou
137,sidra,Sidra,SIDRA,50,Bebidas,6,0,0,0,0,sidra
138,soda con helado,Soda con helado,SODA CON HELADO,200,Productos lacteos,"27,6","8,4","3,2",29,"0,9",soda amb gelat
139,red bull,Red bull,RED BULL,46,Bebidas,11,0,0,0,0,red bull
140,zumo de limón,Zumo de limón,ZUMO DE LIMÓN,17,Bebidas,"3,6","0,1","0,4",0,"0,1",suc de llimona
141,sirope de chocolate,Sirope de chocolate,SIROPE DE CHOCOLATE,279,Dulces,"65,1","1,13","2,1",0,"2,6",xarop de xocolata
142,whiskey,Whiskey,WHISKEY,245,Bebidas Alcoholicas,"0,11",0,0,0,0,whiskey
143,chorizo,Chorizo,CHORIZO,323,Carnes,"1,9","23,1",27,"72,6",0,xoriço
144,coliflor,Coliflor,COLIFLOR,27,Vegetales,"2,04","0,87","2,76",0,"1,6",coliflor
145,nutella,Nutella,NUTELLA,546,Grasas y aceites,"57,6","31,6",6,0,"3,4",nutella
146,nocilla,Nocilla,NOCILLA,550,Grasas y aceites,60,32,"4,5",0,"1,8",nocilla
147,manteca de cacao,Manteca de cacao,MANTECA DE CACAO,899,Grasas y aceites,0,"99,9",0,0,0,mantega de cacau
148,vino tinto,Vino tinto,VINO TINTO,71,Bebidas Alcoholicas,"0,3",0,"0,23",0,0,vi negre
149,girasol,Girasol,GIRASOL,574,Grasas y aceites,20,43,27,0,"2,7",gira-sol
150,barbacoa,Barbacoa,BARBACOA,190,Carnes,1,13,19,0,0,barbacoa
151,repollo,Repollo,REPOLLO,26,Vegetales,"3,7","0,4","1,8",0,"3,1",col
152,oveja,Oveja,OVEJA,235,Carnes,0,"16,6","17,6",60,0,ovella
153,agua de coco,Agua de coco,AGUA DE COCO,19,Frutas,"3,7","0,2","0,7",0,"1,1",aigua de coco
154,arándanos,Arándanos,ARÁNDANOS,33,Frutas,"6,05","0,6","0,62",0,"4,9",nabius
155,arroz con pollo,Arroz con pollo,ARROZ CON POLLO,217,Cereales y derivados,"22,9","2,1","25,7",58,"1,8",arròs amb pollastre
156,pastrami,Pastrami,PASTRAMI,139,Carnes,"3,3","6,21","16,3",68,0,pastrami
157,albahaca,Albahaca,ALBAHACA,178,Hierbas y especias,"20,5","3,98","14,4",0,"40,5",alfàbrega
158,ricotta,Ricotta,RICOTTA,156,Productos lacteos,"4,09","10,44","11,32",41,0,ricotta
159,frambuesas,Frambuesas,FRAMBUESAS,38,Frutas,7,"0,52","1,2",0,"6,7",gerds
160,zumo de manzana,Zumo de manzana,ZUMO DE MANZANA,45,Frutas,11,0,"0,1",0,0,suc de poma
161,feta,Feta,FETA,264,Productos lacteos,"4,09","21,28","14,21",89,0,feta
162,queso romano,queso Romano,QUESO ROMANO,387,Productos lacteos,"3,63","26,94","31,8",104,0,formatge romà
163,limones,Limones,LIMONES,29,Frutas,"9,32","0,3","1,1",0,"2,8",llimones
164,salsa de queso,Salsa de queso,SALSA DE QUESO,110,Productos lacteos,"8,4","6,1","5,3",29,"0,5",salsa de formatge
165,sopa de vegetales,Sopa de vegetales,SOPA DE VEGETALES,321,Sopas,"58,24","4,34","10,99",74,"2,2",sopa de vegetals
166,apio,Apio,APIO,11,Vegetales,"1,5","0,1","0,9",0,2,api
167,aguacates,Aguacates,AGUACATES,137,Vegetales,"0,4",12,"1,5",0,"6,3",alvocats
168,bebida isotónica,Bebida isotónica,BEBIDA ISOTÓNICA,32,Bebidas,"7,9",0,0,0,0,beguda isotònica
169,mangos,Mangos,MANGOS,59,Frutas,"13,4","0,2","0,6",0,"2,3",mango
170,edamame,Edamame,EDAMAME,81,Vegetales,"6,53","4,45","8,47",0,"0,8",edamame
171,salami,Salami,SALAMI,435,Carnes,"1,3","40,2","17,8",80,"0,1",salami
172,fideos con pollo,Fideos con pollo,FIDEOS CON POLLO,321,Sopas,"58,24","4,34","10,99",74,"2,2",fideus amb pollastre
173,provolone,Provolone,PROVOLONE,351,Productos lacteos,"2,14","26,62","25,58",69,0,provolone
174,pasas,Pasas,PASAS,297,Frutas,"69,3","0,5","2,46",0,"6,5",panses
175,mayonesa,Mayonesa,MAYONESA,298,Grasas y aceites,"10,8","28,1",1,50,0,maionesa
176,especias,Especias,ESPECIAS,474,Hierbas y especias,"16,7","35,5","19,2",0,23,espècies
177,aderezo ranchero,Aderezo ranchero,ADEREZO RANCHERO,484,Salsas,"6,69","51,39","1,03",33,"0,7",guarniment ranxer
178,edam,Edam,EDAM,336,Productos lacteos,0,"28,3","20,7",80,0,edam
179,crema de coco,Crema de coco,CREMA DE COCO,125,Frutas,"19,1","3,5","2,9",11,"0,01",crema de coco
180,espárragos,Espárragos,ESPÁRRAGOS,24,Vegetales,"3,4","0,3","1,9",0,1,espàrrecs
181,papaya,Papaya,PAPAYA,33,Frutas,"7,6",0,"0,5",0,"1,9",papaia
182,coles de Bruselas,Coles de bruselas,COLES DE BRUSELAS,35,Vegetales,"3,5","0,5",4,0,"4,3",cols de brussel·les
183,ponche,Ponche,PONCHE,224,Productos lacteos,"20,4","10,6","11,6","149,9",0,ponx
184,salsa de spaguetti,Salsa de spaguetti,SALSA DE SPAGUETTI,145,Salsas,"3,4","11,1",8,25,"1,1",salsa de spaghetti
185,pimiento morrón,Pimiento morrón,PIMIENTO MORRÓN,30,Productos lacteos,"5,2","0,4","1,19",0,"1,5",pebrot
186,cerezas,Cerezas,CEREZAS,63,Frutas,"13,5","0,5","0,8",0,"1,5",cireres
187,bacon canadiense,Bacon canadiense,BACON CANADIENSE,292,Carnes,0,"22,1","23,4",80,0,bacó canadenc
188,nueces,Nueces,NUECES,595,Frutos secos,"3,3","63,28",14,0,"5,2",nous
189,filete de lomo,Filete de lomo,FILETE DE LOMO,237,Carnes,0,"14,27",27,75,0,filet de llom
190,boloñesa,Boloñesa,BOLOÑESA,145,Salsas,"3,4","11,1",8,25,"1,1",bolonyesa
191,moras,Moras,MORAS,45,Vegetales,"6,24",1,"1,19",0,"3,16",mores
192,lomo,Lomo,LOMO,237,Carnes,0,"14,27",27,75,0,llom
193,lomo de cerdo,Lomo de cerdo,LOMO DE CERDO,237,Carnes,0,"14,27",27,75,0,llom de porc
194,sopa de almejas,Sopa de almejas,SOPA DE ALMEJAS,163,Sopas,"19,01","5,58","8,83",17,2,sopa de cloïsses
195,piel de patata,Piel de patata,PIEL DE PATATA,58,Vegetales,"12,4","0,1","2,6",0,"2,5",pell de patata
196,potitos,Potitos,POTITOS,"64,8",Comida de bebes,6,"2,6","3,6",13,"1,5",potets
197,grasa de tocino,Grasa de tocino,GRASA DE TOCINO,665,Grasas y aceites,0,71,"8,4",57,0,greix de cansalada
198,plátanos,Plátanos,PLÁTANOS,89,Frutas,20,"0,3","1,2",0,"3,4",plàtans
199,bálsamo,Bálsamo,BÁLSAMO,71,Salsas,"17,03",0,"0,49",0,0,bàlsam
200,gouda,Gouda,GOUDA,326,Productos lacteos,0,"27,4","20,36",110,0,gouda
201,hígado de pollo,Hígado de pollo,HÍGADO DE POLLO,137,Carnes,"1,2","4,7","22,12",492,0,fetge de pollastre
202,perejil,Perejil,PEREJIL,35,Hierbas y especias,"2,7","1,3",3,0,5,julivert
203,crema de trigo,Crema de trigo,CREMA DE TRIGO,44,Cereales y derivados,"9,04","0,18","1,24",0,"0,4",crema de blat
204,caldo de pollo,Caldo de pollo,CALDO DE POLLO,5,Sopas,"0,62","0,12","0,39",0,0,brou de pollastre
205,jamón serrano,Jamón Serrano,JAMÓN SERRANO,32,Vegetales,"6,7","0,44","1,74",0,"3,7",pernil serrà
206,nestle,Nestle,NESTLE,279,Dulces,"65,1","1,13","2,1",0,"2,6",nestle
207,aderezo italiano,Aderezo italiano,ADEREZO ITALIANO,61,Salsas,"2,1","5,8",0,0,0,guarniment italià
