Nombre,Estado,Provincia,"Población
Censo 1981-03-01","Población
Censo 1991-03-01","Población
Censo 2001-11-01","Población
Censo 2011-11-01",Poblacion2018
Alaraz,Municipio,Salamanca,891,753,638,541,463
Alar del Rey,Municipio,Palencia,1.821,1.574,1.223,1.030,928
Alba de Cerrato,Municipio,Palencia,182,144,91,87,86
Alba de Tormes,Municipio,Salamanca,4.041,4.344,4.855,5.386,5.166
Alba de Yeltes,Municipio,Salamanca,436,321,258,248,220
Albillos,Municipio,Burgos,181,149,156,215,214
Albornos,Municipio,Ávila,329,295,250,218,190
Alcañices,Municipio,Zamora,1.223,1.245,1.194,1.170,1.074
Alcazarén,Municipio,Valladolid,817,785,687,715,640
Alcocero de Mola,Municipio,Burgos,79,62,50,32,36
Alconaba,Municipio,Soria,182,169,166,194,189
Alconada,Municipio,Salamanca,297,257,214,164,155
Alconada de Maderuelo,Municipio,Segovia,66,63,45,34,27
Alcubilla de Avellaneda,Municipio,Soria,327,268,213,156,108
Alcubilla de las Peñas,Municipio,Soria,143,115,99,70,59
Alcubilla de Nogales,Municipio,Zamora,299,262,191,146,123
Aldeacipreste,Municipio,Salamanca,405,337,173,133,116
Aldeadávila de la Ribera,Municipio,Salamanca,1.913,1.761,1.540,1.368,1.239
Aldea del Obispo,Municipio,Salamanca,539,423,379,354,266
Aldea de San Miguel,Municipio,Valladolid,256,231,219,235,222
Aldealafuente,Municipio,Soria,188,170,142,103,87
Aldealcorvo,Municipio,Segovia,59,38,24,26,22
Aldealengua,Municipio,Salamanca,359,476,555,663,696
Aldealengua de Pedraza,Municipio,Segovia,101,111,93,96,76
Aldealengua de Santa María,Municipio,Segovia,129,83,71,84,56
Aldealices,Municipio,Soria,41,38,27,25,34
Aldealpozo,Municipio,Soria,37,31,31,27,18
Aldealseñor,Municipio,Soria,76,57,47,44,30
Aldeamayor de San Martín,Municipio,Valladolid,998,1.090,1.588,4.521,5.455
Aldeanueva de Figueroa,Municipio,Salamanca,484,393,325,292,256
Aldeanueva de la Serrezuela,Municipio,Segovia,60,55,41,51,48
Aldeanueva de la Sierra,Municipio,Salamanca,147,109,121,131,113
Aldeanueva del Codonal,Municipio,Segovia,296,253,210,149,123
Aldeanueva de Santa Cruz,Municipio,Ávila,309,204,186,135,119
Aldea Real,Municipio,Segovia,491,425,378,343,301
Aldearrodrigo,Municipio,Salamanca,253,232,191,166,141
Aldearrubia,Municipio,Salamanca,524,506,523,526,486
Aldeaseca,Municipio,Ávila,441,415,323,277,233
Aldeaseca de Alba,Municipio,Salamanca,201,153,123,89,74
Aldeaseca de la Frontera,Municipio,Salamanca,467,422,352,320,269
Aldeasoña,Municipio,Segovia,192,167,95,68,57
Aldeatejada,Municipio,Salamanca,579,516,696,1.474,1.989
Aldeavieja de Tormes,Municipio,Salamanca,169,152,127,106,102
Aldehorno,Municipio,Segovia,129,98,71,58,57
Aldehuela de la Bóveda,Municipio,Salamanca,443,431,371,299,290
Aldehuela del Codonal,Municipio,Segovia,81,70,50,34,25
Aldehuela de Periáñez,Municipio,Soria,65,45,40,49,36
Aldehuela de Yeltes,Municipio,Salamanca,458,398,282,217,195
Aldeonte,Municipio,Segovia,147,109,96,62,55
Alentisque,Municipio,Soria,92,57,40,35,33
Alfaraz de Sayago,Municipio,Zamora,338,259,197,166,130
Alfoz de Bricia,Municipio,Burgos,235,134,124,86,77
Alfoz de Quintanadueñas,Municipio,Burgos,466,479,1.044,1.962,2.007
Alfoz de Santa Gadea,Municipio,Burgos,186,169,142,114,100
Algadefe,Municipio,León,495,406,356,298,286
Algodre,Municipio,Zamora,328,242,180,177,145
Alija del Infantado,Municipio,León,1.441,1.066,980,790,671
Aliud,Municipio,Soria,77,59,33,26,18
Almajano,Municipio,Soria,210,197,191,215,183
Almaluez,Municipio,Soria,526,384,264,184,139
Almanza,Municipio,León,1.180,886,715,612,558
Almaraz de Duero,Municipio,Zamora,563,501,452,409,402
Almarza,Municipio,Soria,647,658,611,643,572
Almazán,Municipio,Soria,5.727,5.960,5.546,5.882,5.526
Almazul,Municipio,Soria,314,217,148,99,70
Almeida de Sayago,Municipio,Zamora,925,754,657,562,462
Almenara de Adaja,Municipio,Valladolid,50,36,26,29,21
Almenara de Tormes,Municipio,Salamanca,236,251,238,291,254
Almenar de Soria,Municipio,Soria,596,473,352,271,236
Almendra,Municipio,Salamanca,312,240,205,183,157
Alpanseque,Municipio,Soria,193,135,98,82,63
Altable,Municipio,Burgos,93,76,59,54,53
Amavida,Municipio,Ávila,292,214,192,174,135
Amayuelas de Arriba,Municipio,Palencia,82,63,40,40,35
Ameyugo,Municipio,Burgos,80,63,89,101,105
Ampudia,Municipio,Palencia,941,851,670,628,622
Amusco,Municipio,Palencia,788,616,539,440,423
Amusquillo,Municipio,Valladolid,254,203,163,118,105
Anaya,Municipio,Segovia,164,136,132,133,131
Anaya de Alba,Municipio,Salamanca,504,367,286,230,215
Andavías,Municipio,Zamora,576,539,480,483,438
Añe,Municipio,Segovia,143,133,126,107,79
Anguix,Municipio,Burgos,248,187,151,135,135
Añover de Tormes,Municipio,Salamanca,143,129,103,98,93
Antigüedad,Municipio,Palencia,515,426,434,407,369
Arabayona de Mógica,Municipio,Salamanca,723,611,492,435,372
Arahuetes,Municipio,Segovia,59,56,52,43,32
Arancón,Municipio,Soria,125,124,116,97,85
Aranda de Duero,Municipio,Burgos,27.849,29.814,29.942,33.239,32.523
Arandilla,Municipio,Burgos,285,220,195,176,161
Arapiles,Municipio,Salamanca,602,488,479,608,644
Arauzo de Miel,Municipio,Burgos,492,448,384,367,326
Arauzo de Salce,Municipio,Burgos,131,81,67,73,56
Arauzo de Torre,Municipio,Burgos,175,119,107,91,73
Arcediano,Municipio,Salamanca,160,117,110,103,102
Arcenillas,Municipio,Zamora,279,248,295,409,405
Arconada,Municipio,Palencia,171,110,60,40,42
Arcones,Municipio,Segovia,355,288,228,245,175
Arcos (Arcos de la Llana),Municipio,Burgos,313,228,341,1.384,1.684
Arcos de Jalón,Municipio,Soria,2.610,2.200,1.799,1.852,1.489
Arcos de la Polvorosa,Municipio,Zamora,357,324,283,262,229
Ardón,Municipio,León,867,805,690,609,533
Arenas de San Pedro,Municipio,Ávila,6.604,6.413,6.395,6.870,6.454
Arenillas,Municipio,Soria,59,51,46,30,24
Arenillas de Riopisuerga,Municipio,Burgos,264,241,228,189,182
Arevalillo,Municipio,Ávila,258,185,131,104,75
Arevalillo de Cega,Municipio,Segovia,37,41,42,36,21
Arévalo,Municipio,Ávila,6.579,7.375,7.507,8.098,8.069
Arévalo de la Sierra,Municipio,Soria,189,134,89,88,81
Argañín,Municipio,Zamora,154,137,94,80,76
Arganza,Municipio,León,1.169,1.161,899,848,802
Argujillo,Municipio,Zamora,507,447,383,324,247
Arija,Municipio,Burgos,300,291,218,162,126
Arlanzón,Municipio,Burgos,583,404,375,430,408
Armenteros,Municipio,Salamanca,508,380,313,366,200
Armuña,Municipio,Segovia,416,326,257,242,229
Arquillinos,Municipio,Zamora,256,193,166,133,116
Arrabalde,Municipio,Zamora,528,474,383,279,232
Arraya de Oca,Municipio,Burgos,54,55,59,54,49
Arroyo de la Encomienda,Municipio,Valladolid,795,1.406,4.588,15.527,19.632
Aspariegos,Municipio,Zamora,501,442,344,298,260
Astorga,Municipio,León,12.757,12.500,12.242,11.801,11.029
Astudillo,Municipio,Palencia,1.563,1.450,1.253,1.073,1.004
Asturianos,Municipio,Zamora,578,427,331,278,261
Atapuerca,Municipio,Burgos,201,151,196,209,172
Ataquines,Municipio,Valladolid,1.081,946,858,660,549
Ausejo de la Sierra,Municipio,Soria,71,64,64,67,90
Autilla del Pino,Municipio,Palencia,416,301,241,246,221
Autillo de Campos,Municipio,Palencia,265,214,192,147,131
Aveinte,Municipio,Ávila,198,154,113,92,86
Avellaneda,Municipio,Ávila,117,58,35,32,26
Avellanosa de Muñó,Municipio,Burgos,278,205,152,121,112
Ávila,Municipio,Ávila,40.173,45.977,49.712,59.482,57.657
Ayllón,Municipio,Segovia,1.502,1.271,1.233,1.401,1.203
Ayoó de Vidriales,Municipio,Zamora,717,579,442,366,317
Ayuela,Municipio,Palencia,117,100,76,60,52
Babilafuente,Municipio,Salamanca,1.087,1.002,969,934,911
Bahabón,Municipio,Valladolid,308,255,191,159,108
Bahabón de Esgueva,Municipio,Burgos,231,171,133,114,73
Balboa,Municipio,León,851,611,439,367,308
Baltanás,Municipio,Palencia,1.743,1.647,1.496,1.318,1.216
Bañobárez,Municipio,Salamanca,715,555,435,349,309
Baños de Valdearados,Municipio,Burgos,728,565,442,377,342
Bañuelos de Bureba,Municipio,Burgos,63,62,41,33,34
Baquerín de Campos,Municipio,Palencia,58,45,25,35,28
Baraona,Municipio,Soria,373,297,225,179,142
Barbadillo,Municipio,Salamanca,734,574,538,457,410
Barbadillo de Herreros,Municipio,Burgos,173,164,134,122,109
Barbadillo del Mercado,Municipio,Burgos,252,200,168,151,143
Barbadillo del Pez,Municipio,Burgos,142,118,63,76,67
Barbalos,Municipio,Salamanca,196,151,100,85,75
Barbolla,Municipio,Segovia,283,245,215,217,169
Barca,Municipio,Soria,235,176,127,118,103
Bárcena de Campos,Municipio,Palencia,94,68,62,54,53
Barceo,Municipio,Salamanca,130,89,59,50,46
Barcial de la Loma,Municipio,Valladolid,242,184,155,125,96
Barcial del Barco,Municipio,Zamora,368,348,313,279,258
Barcones,Municipio,Soria,80,62,43,32,23
Barjas,Municipio,León,775,714,368,230,194
Barrio de Muñó,Municipio,Burgos,45,36,33,34,33
Barrios de Colina,Municipio,Burgos,77,80,74,57,53
Barromán,Municipio,Ávila,368,297,251,203,186
Barruecopardo,Municipio,Salamanca,829,681,571,527,442
Barruelo del Valle,Municipio,Valladolid,98,84,76,54,56
Barruelo de Santullán,Municipio,Palencia,2.825,2.196,1.641,1.418,1.183
Basardilla,Municipio,Segovia,96,117,106,175,149
Basconcillos del Tozo,Municipio,Burgos,612,440,374,315,285
Báscones de Ojeda,Municipio,Palencia,272,223,197,165,144
Bascuñana,Municipio,Burgos,119,89,61,46,25
Bayubas de Abajo,Municipio,Soria,395,323,267,198,147
Bayubas de Arriba,Municipio,Soria,116,97,72,54,51
Becedas,Municipio,Ávila,711,566,396,266,206
Becedillas,Municipio,Ávila,242,186,154,117,90
Becerril de Campos,Municipio,Palencia,1.467,1.252,1.056,921,754
Becilla de Valderaduey,Municipio,Valladolid,535,508,379,289,244
Béjar,Municipio,Salamanca,17.298,17.125,15.123,14.401,12.961
Belbimbre,Municipio,Burgos,101,84,75,75,67
Beleña,Municipio,Salamanca,125,134,147,208,223
Belmonte de Campos,Municipio,Palencia,78,64,32,31,33
Belorado,Municipio,Burgos,2.211,2.189,2.019,2.068,1.816
Belver de los Montes,Municipio,Zamora,642,582,450,340,281
Bembibre,Municipio,León,9.295,10.744,10.148,9.851,8.979
Benafarces,Municipio,Valladolid,106,107,99,97,68
Benavente,Municipio,Zamora,12.791,14.424,16.590,19.186,18.095
Benavides,Municipio,León,3.537,3.204,3.018,2.752,2.497
Benegiles,Municipio,Zamora,547,452,410,360,325
Benuza,Municipio,León,1.056,817,720,555,489
Beratón,Municipio,Soria,45,42,32,40,29
Berberana,Municipio,Burgos,133,98,87,72,55
Bercero,Municipio,Valladolid,328,291,269,216,210
Berceruelo,Municipio,Valladolid,37,38,44,41,39
Bercial,Municipio,Segovia,201,141,120,117,111
Bercial de Zapardiel,Municipio,Ávila,425,374,291,246,199
Bercianos del Páramo,Municipio,León,1.133,976,841,666,580
Bercianos del Real Camino,Municipio,León,338,282,208,195,193
Bercimuel,Municipio,Segovia,108,81,84,46,25
Berlanga de Duero,Municipio,Soria,1.608,1.350,1.100,999,877
Berlanga del Bierzo,Municipio,León,620,499,396,404,360
Berlangas de Roa,Municipio,Burgos,452,312,242,192,184
Bermellar,Municipio,Salamanca,284,263,208,167,132
Bermillo de Sayago,Municipio,Zamora,1.907,1.730,1.358,1.173,1.037
Bernardos,Municipio,Segovia,884,808,700,596,494
Bernuy de Porreros,Municipio,Segovia,407,308,359,700,760
Bernuy-Zapardiel,Municipio,Ávila,327,301,195,138,108
Berrocal de Huebra,Municipio,Salamanca,214,149,118,77,69
Berrocal de Salvatierra,Municipio,Salamanca,210,175,122,97,85
Berrocalejo de Aragona,Municipio,Ávila,43,46,51,49,43
Berrueces (Berrueces de Campos),Municipio,Valladolid,158,126,107,107,95
Berzosa de Bureba,Municipio,Burgos,76,55,48,38,29
Berzosilla,Municipio,Palencia,116,90,68,51,41
Blacos,Municipio,Soria,96,76,59,53,44
Blascomillán,Municipio,Ávila,479,377,272,210,193
Blasconuño de Matacabras,Municipio,Ávila,37,31,21,18,16
Blascosancho,Municipio,Ávila,233,174,160,105,114
Bliecos,Municipio,Soria,85,71,43,43,35
Boada,Municipio,Salamanca,521,524,390,312,315
Boada de Campos,Municipio,Palencia,30,32,22,20,17
Boadilla del Camino,Municipio,Palencia,277,217,175,115,115
Boadilla de Rioseco,Municipio,Palencia,277,215,176,130,111
Bobadilla del Campo,Municipio,Valladolid,484,446,393,315,298
Boca de Huérgano,Municipio,León,827,724,583,522,475
Boceguillas,Municipio,Segovia,616,557,588,790,716
Bocigas,Municipio,Valladolid,125,167,121,92,84
Bocos de Duero,Municipio,Valladolid,115,103,77,64,61
Boecillo,Municipio,Valladolid,690,910,1.852,3.899,4.154
Bogajo,Municipio,Salamanca,303,255,201,150,137
Bohoyo,Municipio,Ávila,868,562,427,324,248
Bolaños de Campos,Municipio,Valladolid,526,414,373,339,304
Boñar,Municipio,León,3.287,2.852,2.429,2.058,1.850
Bonilla de la Sierra,Municipio,Ávila,314,227,172,136,120
Borjabad,Municipio,Soria,96,74,60,40,34
Borobia,Municipio,Soria,570,442,364,283,240
Borrenes,Municipio,León,750,612,468,387,319
Bóveda del Río Almar,Municipio,Salamanca,402,360,299,252,231
Bozoó,Municipio,Burgos,108,109,117,108,98
Brabos,Municipio,Ávila,101,83,68,55,44
Brahojos de Medina,Municipio,Valladolid,237,207,170,136,120
Brañosera,Municipio,Palencia,353,321,280,235,246
Brazacorta,Municipio,Burgos,133,98,85,64,55
Brazuelo,Municipio,León,395,376,361,327,287
Bretó,Municipio,Zamora,342,305,242,199,184
Bretocino,Municipio,Zamora,395,351,314,250,228
Brieva,Municipio,Segovia,68,66,73,81,86
Brime de Sog,Municipio,Zamora,364,297,237,181,134
Brime de Urz,Municipio,Zamora,218,194,149,128,108
Brincones,Municipio,Salamanca,193,147,106,68,56
Briviesca,Municipio,Burgos,5.078,5.663,6.271,7.585,6.675
Buberos,Municipio,Soria,78,58,47,36,33
Buenamadre,Municipio,Salamanca,270,218,179,143,132
Buenavista,Municipio,Salamanca,139,109,123,251,351
Buenavista de Valdavia,Municipio,Palencia,554,487,424,380,264
Bugedo,Municipio,Burgos,136,117,134,188,173
Buitrago,Municipio,Soria,56,59,57,57,59
Bularros,Municipio,Ávila,185,151,101,80,65
Buniel,Municipio,Burgos,180,138,188,496,543
Burganes de Valverde,Municipio,Zamora,950,907,867,753,656
Burgo de Osma-Ciudad de Osma (El Burgo de Osma),Municipio,Soria,5.046,5.009,4.877,5.193,4.926
Burgohondo,Municipio,Ávila,1.537,1.376,1.214,1.302,1.196
Burgos,Municipio,Burgos,152.545,160.278,166.187,178.864,175.921
Burón,Municipio,León,668,550,381,355,304
Bustillo de Chaves,Municipio,Valladolid,128,119,99,69,68
Bustillo de la Vega,Municipio,Palencia,470,414,373,319,306
Bustillo del Oro,Municipio,Zamora,257,190,140,97,85
Bustillo del Páramo,Municipio,León,2.527,2.190,1.758,1.416,1.184
Bustillo del Páramo de Carrión,Municipio,Palencia,138,117,87,64,61
Busto de Bureba,Municipio,Burgos,457,332,216,188,149
Caballar,Municipio,Segovia,135,110,94,100,85
Cabañas de Polendos,Municipio,Segovia,137,117,118,186,186
Cabañas de Sayago,Municipio,Zamora,277,262,199,164,160
Cabañas Raras,Municipio,León,1.160,1.368,1.302,1.315,1.330
Cabañes de Esgueva,Municipio,Burgos,390,316,249,202,169
Cabezabellosa de la Calzada,Municipio,Salamanca,189,139,127,96,77
Cabeza del Caballo,Municipio,Salamanca,632,576,452,371,291
Cabezas de Alambre,Municipio,Ávila,322,307,208,177,157
Cabezas del Pozo,Municipio,Ávila,274,226,137,87,84
Cabezas del Villar,Municipio,Ávila,741,579,455,316,275
Cabezón de la Sierra,Municipio,Burgos,51,90,74,54,53
Cabezón de Pisuerga,Municipio,Valladolid,1.514,1.522,1.968,3.558,3.693
Cabezón de Valderaduey,Municipio,Valladolid,72,56,45,34,36
Cabezuela,Municipio,Segovia,840,772,713,703,671
Cabizuela,Municipio,Ávila,173,168,131,113,82
Cabrejas del Campo,Municipio,Soria,110,97,82,65,56
Cabrejas del Pinar,Municipio,Soria,563,508,462,411,357
Cabrerizos,Municipio,Salamanca,608,920,2.454,4.070,4.256
Cabreros del Monte,Municipio,Valladolid,171,115,91,67,58
Cabreros del Río,Municipio,León,828,690,554,472,412
Cabrillanes,Municipio,León,1.508,1.294,1.092,899,775
Cabrillas,Municipio,Salamanca,756,640,527,430,383
Cacabelos,Municipio,León,4.625,5.061,4.880,5.466,5.132
Calabazas de Fuentidueña,Municipio,Segovia,134,103,65,40,30
Calahorra de Boedo,Municipio,Palencia,176,166,126,116,92
Calatañazor,Municipio,Soria,84,71,61,65,51
Caleruega,Municipio,Burgos,506,416,430,499,433
Caltojar,Municipio,Soria,266,171,118,80,57
Calvarrasa de Abajo,Municipio,Salamanca,1.054,1.096,1.032,1.149,1.152
Calvarrasa de Arriba,Municipio,Salamanca,648,620,662,624,600
Calzada de Don Diego,Municipio,Salamanca,364,315,245,199,161
Calzada del Coto,Municipio,León,440,347,293,255,231
Calzada de los Molinos,Municipio,Palencia,517,417,388,353,326
Calzada de Valdunciel,Municipio,Salamanca,725,671,632,653,676
Calzadilla de Tera,Municipio,Zamora,667,635,483,384,305
Camarzana de Tera,Municipio,Zamora,1.307,1.174,1.014,935,813
Campaspero,Municipio,Valladolid,1.816,1.698,1.443,1.258,1.102
Campazas,Municipio,León,247,216,162,145,123
Campillo de Aranda,Municipio,Burgos,263,183,202,178,162
Campillo de Azaba,Municipio,Salamanca,407,325,256,191,164
Campo de San Pedro,Municipio,Segovia,459,386,358,347,258
Campo de Villavidel,Municipio,León,559,413,313,215,203
Campolara,Municipio,Burgos,115,113,85,59,61
Camponaraya,Municipio,León,2.654,3.141,3.333,4.201,4.062
Camporredondo,Municipio,Valladolid,295,250,204,171,155
Canalejas de Peñafiel,Municipio,Valladolid,406,360,280,296,228
Canales,Municipio,Ávila,103,92,57,49,48
Cañamaque,Municipio,Soria,99,68,45,32,32
Candelario,Municipio,Salamanca,1.301,1.177,1.038,1.009,906
Candeleda,Municipio,Ávila,5.319,5.344,4.968,5.223,4.998
Candilichera,Municipio,Soria,299,259,213,137,115
Candín,Municipio,León,614,611,417,325,273
Canicosa de la Sierra,Municipio,Burgos,850,693,588,549,470
Canillas de Abajo,Municipio,Salamanca,210,149,106,82,77
Canillas de Esgueva,Municipio,Valladolid,228,159,120,91,72
Cañizal,Municipio,Zamora,837,691,635,504,455
Cañizo (Cañizo de Campos),Municipio,Zamora,436,411,309,276,236
Cantabrana,Municipio,Burgos,147,70,42,31,27
Cantagallo,Municipio,Salamanca,330,287,277,290,260
Cantalapiedra,Municipio,Salamanca,1.747,1.623,1.294,1.106,986
Cantalejo,Municipio,Segovia,3.597,3.453,3.462,3.928,3.543
Cantalpino,Municipio,Salamanca,1.542,1.315,1.105,1.001,878
Cantaracillo,Municipio,Salamanca,362,316,253,209,195
Cantimpalos,Municipio,Segovia,1.392,1.332,1.284,1.409,1.321
Cantiveros,Municipio,Ávila,395,231,180,143,112
Capillas,Municipio,Palencia,172,160,105,88,77
Carabantes,Municipio,Soria,73,42,37,23,16
Carabias (Pradales),Municipio,Segovia,83,72,69,54,49
Caracena,Municipio,Soria,15,11,27,18,15
Carazo,Municipio,Burgos,60,51,47,41,33
Carbajales de Alba,Municipio,Zamora,938,757,695,644,556
Carbajosa de la Sagrada,Municipio,Salamanca,436,673,2.290,6.471,6.947
Carbellino,Municipio,Zamora,350,280,260,228,202
Carbonero el Mayor,Municipio,Segovia,2.510,2.383,2.391,2.581,2.529
Carcedo de Bureba,Municipio,Burgos,67,42,47,45,44
Carcedo de Burgos,Municipio,Burgos,123,107,178,362,411
Cardeñadijo,Municipio,Burgos,378,338,601,1.186,1.313
Cardeñajimeno,Municipio,Burgos,316,320,507,976,1.101
Cardeñosa,Municipio,Ávila,720,604,544,495,452
Cardeñosa de Volpejera,Municipio,Palencia,68,60,52,50,43
Cardeñuela Riopico,Municipio,Burgos,74,70,101,147,112
Cármenes,Municipio,León,702,563,441,436,357
Carpio,Municipio,Valladolid,1.340,1.315,1.181,1.098,1.024
Carpio de Azaba,Municipio,Salamanca,200,119,115,113,100
Carracedelo,Municipio,León,3.398,3.459,3.633,3.673,3.472
Carrascal de Barregas,Municipio,Salamanca,260,279,522,1.061,1.188
Carrascal del Obispo,Municipio,Salamanca,369,268,251,238,217
Carrascal del Río,Municipio,Segovia,279,236,197,163,147
Carrascosa de Abajo,Municipio,Soria,67,50,32,28,23
Carrascosa de la Sierra,Municipio,Soria,35,19,13,20,17
Carrias,Municipio,Burgos,83,56,42,26,25
