Nombre,Estado,Provincia,"Población
Censo 1981-03-01","Población
Censo 1991-03-01","Población
Censo 2001-11-01","Población
Censo 2011-11-01",Poblacion2018
Carrión de los Condes,Municipio,Palencia,2.810,2.519,2.386,2.205,2.096
Carrizo (Carrizo de la Ribera),Municipio,León,2.649,2.862,2.747,2.504,2.269
Carrocera,Municipio,León,845,669,608,552,465
Carucedo,Municipio,León,871,712,669,659,557
Casafranca,Municipio,Salamanca,120,88,82,73,68
Casarejos,Municipio,Soria,325,300,265,203,169
Casas del Puerto (Casas del Puerto de Villatoro),Municipio,Ávila,152,129,99,106,92
Casaseca de Campeán,Municipio,Zamora,259,188,142,121,104
Casaseca de las Chanas,Municipio,Zamora,478,406,344,405,390
Casasola,Municipio,Ávila,308,196,151,89,84
Casasola de Arión,Municipio,Valladolid,505,425,330,299,244
Casavieja,Municipio,Ávila,1.915,1.647,1.548,1.578,1.429
Cascajares de Bureba,Municipio,Burgos,98,66,54,36,33
Cascajares de la Sierra,Municipio,Burgos,37,17,27,40,37
Casillas,Municipio,Ávila,1.113,1.001,818,808,637
Casillas de Flores,Municipio,Salamanca,351,331,245,199,191
Casla,Municipio,Segovia,127,150,151,175,157
Castellanos de Castro,Municipio,Burgos,82,74,71,52,50
Castellanos de Moriscos,Municipio,Salamanca,369,373,437,1.903,2.615
Castellanos de Villiquera,Municipio,Salamanca,412,452,576,687,633
Castellanos de Zapardiel,Municipio,Ávila,206,162,132,101,95
Castildelgado,Municipio,Burgos,117,95,79,50,36
Castil de Peones,Municipio,Burgos,76,55,30,32,32
Castil de Vela,Municipio,Palencia,166,132,104,69,63
Castilfalé,Municipio,León,161,132,95,80,65
Castilfrío de la Sierra,Municipio,Soria,55,36,26,31,27
Castillejo de Martín Viejo,Municipio,Salamanca,498,351,311,253,216
Castillejo de Mesleón,Municipio,Segovia,144,141,143,141,130
Castillejo de Robledo,Municipio,Soria,306,249,178,133,109
Castilruiz,Municipio,Soria,502,390,304,213,169
Castraz,Municipio,Salamanca,151,84,58,49,42
Castrejón de la Peña,Municipio,Palencia,883,772,601,454,360
Castrejón de Trabancos,Municipio,Valladolid,343,285,250,219,174
Castrillo de Cabrera,Municipio,León,534,324,177,135,122
Castrillo de Don Juan,Municipio,Palencia,521,404,330,243,220
Castrillo de Duero,Municipio,Valladolid,347,246,179,147,110
Castrillo de la Guareña,Municipio,Zamora,210,182,158,132,121
