,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender,sentiment
20,20,20,20,29,35,2019-04-19 19:58:13.000,1.1193293721991044e+18,1.1193293721991044e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","Claro que sí, lo que se dice en España día a día y las paellas llevan chorizo 🤷🤦 #no",Albúmina,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,"['chorizo', 'paella']",496.0,19.34,28.840000000000003,39.37,117.41,0.5,"['Carnes', 'Cereales y derivados']",,Positive
21,21,21,21,30,36,2019-04-19 19:58:34.000,1.119329459964928e+18,1.119329459964928e+18,es,"{'id': '8c86b8b4cb716103', 'url': 'https://api.twitter.com/1.1/geo/id/8c86b8b4cb716103.json', 'place_type': 'city', 'name': 'Sevilla', 'full_name': 'Sevilla, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.02843, 37.313613], [-6.02843, 37.452783], [-5.8186599999999995, 37.452783], [-5.8186599999999995, 37.313613]]]}, 'attributes': {}}",El niño de gris ha pasado en un segundo de ser crema para pintar la acera a estar vivo.,Jesús,España,Sevilla,"(-6.02843, 37.313613)",Andalucía,yes,['crema'],159.0,22.3,5.36,4.9,120.0,0.3,['Productos lacteos'],male,Neutral
22,22,22,22,34,40,2019-04-19 20:00:08.000,1.1193298541162496e+18,1.1193298541162496e+18,es,"{'id': '68b1ba240f4e87aa', 'url': 'https://api.twitter.com/1.1/geo/id/68b1ba240f4e87aa.json', 'place_type': 'city', 'name': 'Cangas de Onís', 'full_name': 'Cangas de Onís, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.184748, 43.204438], [-5.184748, 43.424145], [-4.941815, 43.424145], [-4.941815, 43.204438]]]}, 'attributes': {}}","Morcilla de León con patatas fritas y un poco de pan. en Cuerres, Asturias, Spain https://t.co/NqohRfOVRY",Jose,España,Cangas de Onís,"(-5.184748, 43.204438)",Asturias,yes,['patatas'],538.0,49.5,34.9,6.5,0.0,4.0,['Vegetales'],male,Neutral
23,23,23,23,35,41,2019-04-19 20:03:39.000,1.1193307398107054e+18,1.1193307398107054e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@Kitiaraetfuerta Los q yo llevo son huevos de chocolate variados.... 😂😂😂,cedibar,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,"['huevo', 'chocolate']",421.33,59.53,41.63,19.79,405.0,0.53,"['Productos lacteos', 'Dulces']",,Neutral
24,24,24,24,36,42,2019-04-19 20:03:55.000,1.1193308079471124e+18,1.1193308079471124e+18,es,"{'id': '9ead943d76285147', 'url': 'https://api.twitter.com/1.1/geo/id/9ead943d76285147.json', 'place_type': 'city', 'name': 'Alcobendas', 'full_name': 'Alcobendas, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.701546, 40.501348], [-3.701546, 40.588844], [-3.550223, 40.588844], [-3.550223, 40.501348]]]}, 'attributes': {}}","@Laszloeragay @GoikoGrill La Kevin mejor, el queso de Cabra a estas horas como que no... Vamos a ello. 🍔",Agustín,España,Alcobendas,"(-3.701546, 40.501348)",Madrid,yes,"['queso', 'Cabra']",559.0,0.51,36.31,56.37000000000001,131.4,0.0,"['Productos lacteos', 'Carnes']",male,Positive
25,25,25,25,37,44,2019-04-19 20:04:28.000,1.1193309447695156e+18,1.1193309447695156e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",@lexjgd Odio la sopa en todas sus versiones.....,cedibar,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['sopa'],321.0,58.24,4.34,10.99,74.0,2.2,['Sopas'],,Negative
26,26,26,26,38,45,2019-04-19 20:04:33.000,1.1193309683918848e+18,1.1193309683918848e+18,es,"{'id': '983a7dea07a7bcd4', 'url': 'https://api.twitter.com/1.1/geo/id/983a7dea07a7bcd4.json', 'place_type': 'city', 'name': 'Estepona', 'full_name': 'Estepona, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-5.219826, 36.386766], [-5.219826, 36.535606], [-5.005087, 36.535606], [-5.005087, 36.386766]]]}, 'attributes': {}}","“El antojazo de pizza ??” diría que un drama romántico que acaban yendo a Roma, lo compro.",Alicia,España,Estepona,"(-5.219826, 36.386766)",Andalucía,yes,['pizza'],477.0,22.2,9.8,8.2,16.0,1.7,['Comida rapida'],female,Positive
27,27,27,27,40,48,2019-04-19 20:07:31.000,1.1193317154644868e+18,1.1193317154644868e+18,es,"{'id': '6c43b834f8eddbdf', 'url': 'https://api.twitter.com/1.1/geo/id/6c43b834f8eddbdf.json', 'place_type': 'city', 'name': 'Rute', 'full_name': 'Rute, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.427853, 37.272307], [-4.427853, 37.417412], [-4.277905, 37.417412], [-4.277905, 37.272307]]]}, 'attributes': {}}","Un vasito de leche y a dormir,#BN. en Calle Calvario Rute https://t.co/s3mofjj8kh",miguel,España,Rute,"(-4.427853, 37.272307)",Andalucía,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,['Productos lacteos'],male,Positive
28,28,28,28,42,50,2019-04-19 20:09:02.000,1.119332094663123e+18,1.119332094663123e+18,es,"{'id': '387b00909c2e7031', 'url': 'https://api.twitter.com/1.1/geo/id/387b00909c2e7031.json', 'place_type': 'city', 'name': 'Granada', 'full_name': 'Granada, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.699796, 37.135903], [-3.699796, 37.224915], [-3.496139, 37.224915], [-3.496139, 37.135903]]]}, 'attributes': {}}","Raquel, ya que significa “oveja tranquila”................... 

soy hiperactiva",Queli,España,Granada,"(-3.699796, 37.135903)",Andalucía,yes,['oveja'],235.0,0.0,16.6,17.6,60.0,0.0,['Carnes'],,Neutral
29,29,29,29,43,51,2019-04-19 20:09:40.000,1.1193322571672822e+18,1.1193322571672822e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","@wickermanolo A mí me gusta el pescado, pero también no he visto la serie GOT jajajajaja",Mandy,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['pescado'],96.0,0.0,1.6,20.1,53.6,0.0,"['Pescado, moluscos y marisco']",female,Neutral
