,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Categorías,Gender
20,20,20,31,41,2019-04-07 02:09:08.000,1.1147116755743375e+18,1.1147116755743375e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Lo de buscar un tutorial en youtube para saber cómo abrir una botella de sidra muy rándom la verdad,Rolando,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['sidra'],25.0,6.0,0.0,0.0,0.0,0.0,['Bebidas'],male
21,21,21,32,42,2019-04-07 02:10:10.000,1.11471193672849e+18,1.11471193672849e+18,es,"{'id': '80e7db36670c9975', 'url': 'https://api.twitter.com/1.1/geo/id/80e7db36670c9975.json', 'place_type': 'city', 'name': 'Ávila', 'full_name': 'Ávila, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-4.816598, 40.560569], [-4.816598, 40.752618], [-4.453278, 40.752618], [-4.453278, 40.560569]]]}, 'attributes': {}}","@sprewill @isabelbonig @mjosecatala @populares Y la pasta que se ha llevado
El PP  y la pasta que le
Dimos a los BA… https://t.co/ag1VEIhvFI",María,España,Ávila,"(-4.816598, 40.560569)",Castilla y León,yes,['pasta'],252.0,47.44,2.26,9.35,30.0,4.58,['Cereales y derivados'],female
22,22,22,33,43,2019-04-07 02:14:06.000,1.1147129259089428e+18,1.1147129259089428e+18,es,"{'id': 'de0394449cd64440', 'url': 'https://api.twitter.com/1.1/geo/id/de0394449cd64440.json', 'place_type': 'city', 'name': 'Mislata', 'full_name': 'Mislata, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.43345799999999995, 39.466954], [-0.43345799999999995, 39.485753], [-0.40698599999999996, 39.485753], [-0.40698599999999996, 39.466954]]]}, 'attributes': {}}",@RubenBrizC Si me mareas por WhatsApp cara almendra,Mocatriz,España,Mislata,"(-0.43345799999999995, 39.466954)",Comunidad Valenciana,yes,['almendra'],656.0,10.5,56.25,12.0,0.0,8.22,['Frutos secos'],
23,23,23,35,45,2019-04-07 02:53:32.000,1.1147228508862546e+18,1.1147228508862546e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",A mi van a dar el premio de consolacion: una bolsa de chuches,lucia,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['chuches'],389.0,190.0,0.0,0.4,0.0,0.0,['Dulces'],female
24,24,24,37,47,2019-04-07 03:31:52.000,1.1147324976639222e+18,1.1147324976639222e+18,es,"{'id': '8c86b8b4cb716103', 'url': 'https://api.twitter.com/1.1/geo/id/8c86b8b4cb716103.json', 'place_type': 'city', 'name': 'Sevilla', 'full_name': 'Sevilla, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.02843, 37.313613], [-6.02843, 37.452783], [-5.8186599999999995, 37.452783], [-5.8186599999999995, 37.313613]]]}, 'attributes': {}}","@juanjolegend @tiramillas @marca Por sacar pasta, Noooo, porq un padre cumpla su obligación, cuidar y estar con su… https://t.co/5TAAglA6n6",Marga,España,Sevilla,"(-6.02843, 37.313613)",Andalucía,yes,['pasta'],252.0,47.44,2.26,9.35,30.0,4.58,['Cereales y derivados'],female
25,25,25,38,48,2019-04-07 03:58:59.000,1.1147393207352689e+18,1.1147393207352689e+18,es,"{'id': 'c396c282250e2106', 'url': 'https://api.twitter.com/1.1/geo/id/c396c282250e2106.json', 'place_type': 'city', 'name': 'Manresa', 'full_name': 'Manresa, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[1.769524, 41.688129], [1.769524, 41.758331], [1.8750019999999998, 41.758331], [1.8750019999999998, 41.688129]]]}, 'attributes': {}}",hay un pavo que no para de llamarme golfa y dice que eso quiere decir que salgo muy chula en las fotos xd debo cree… https://t.co/yH1PCsL6sQ,,España,Manresa,"(1.769524, 41.688129)",Cataluña,yes,['pavo'],119.0,0.0,2.86,21.77,65.0,0.0,['Productos avicolas'],male
26,26,26,39,49,2019-04-07 04:00:54.000,1.1147398041708052e+18,1.1147398041708052e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",No me quiero perder el chocolate con churros del desayuno,lucia,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['chocolate'],271.33,59.23,30.53,7.29,20.0,0.53,['Dulces'],female
27,27,27,46,56,2019-04-07 04:44:58.000,1.1147508941035644e+18,1.1147508941035644e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}","Send empanadas de queso, please.",Honiel,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['queso'],450.0,0.51,34.0,35.77,74.4,0.0,['Productos lacteos'],
28,28,28,47,58,2019-04-07 05:00:08.000,1.1147547092843602e+18,1.1147547092843602e+18,es,"{'id': 'c9f6408fbe911554', 'url': 'https://api.twitter.com/1.1/geo/id/c9f6408fbe911554.json', 'place_type': 'city', 'name': 'Portugalete', 'full_name': 'Portugalete, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.038428, 43.305045], [-3.038428, 43.332271], [-3.007113, 43.332271], [-3.007113, 43.305045]]]}, 'attributes': {}}","Receta de Helado con Fresas y Yogur griego
https://t.co/CldBZrCL4k
#MeSientoFenomenal #MeSientoFit #RecetaFit",Josu,España,Portugalete,"(-3.038428, 43.305045)",Pais Vasco,yes,"['Helado', 'Fresa', 'Yogur']",337.0,47.6,15.4,8.8,34.0,3.4000000000000004,"['Productos lacteos', 'Frutas', 'Productos lacteos']",male
29,29,29,48,59,2019-04-07 05:09:11.000,1.1147569866195516e+18,1.1147569866195516e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",De after 2 huevos fritos con chorizo,Oscar,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,"['huevo', 'chorizo']",473.0,2.2,34.2,39.5,457.6,0.0,"['Productos lacteos', 'Carnes']",male
