,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,created_at,id,id_str,lang,place,text,user,Country,City,Coordinates,ComunidadAutonoma,IsFood,Foods,Calorias,Hidratos de Carbono,Grasas,Proteinas,Colesterol,Fibra,Gender,Categorías
20,20,20,20,20,33,37,2019-04-05 10:51:48.000,1.1141184328055398e+18,1.1141184328055398e+18,es,"{'id': '7770846df42e4107', 'url': 'https://api.twitter.com/1.1/geo/id/7770846df42e4107.json', 'place_type': 'city', 'name': 'Astorga', 'full_name': 'Astorga, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.207261, 42.438192], [-6.207261, 42.48913], [-6.030904, 42.48913], [-6.030904, 42.438192]]]}, 'attributes': {}}","Me encanta lo de ""centro de interpretación del chocolate"". https://t.co/haBIoSzCAb",Manuel,España,Astorga,"(-6.207261, 42.438192)",Castilla y León,yes,['chocolate'],271.33,59.23,30.53,7.29,20.0,0.53,male,['Dulces']
21,21,21,21,21,34,38,2019-04-05 10:51:54.000,1.1141184588395848e+18,1.1141184588395848e+18,es,"{'id': '7770846df42e4107', 'url': 'https://api.twitter.com/1.1/geo/id/7770846df42e4107.json', 'place_type': 'city', 'name': 'Astorga', 'full_name': 'Astorga, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.207261, 42.438192], [-6.207261, 42.48913], [-6.030904, 42.48913], [-6.030904, 42.438192]]]}, 'attributes': {}}","- Tú que eres intérprete, ¿qué está diciendo este chocolate? 
- Pues mira, está gritando ""COGE UNA HOGAZA DE PAN RE… https://t.co/rEjxeUtxW5",Manuel,España,Astorga,"(-6.207261, 42.438192)",Castilla y León,yes,"['té', 'chocolate']",307.33,61.68,32.8954,8.99,27.0,0.53,male,"['Bebidas', 'Dulces']"
22,22,22,22,22,35,39,2019-04-05 10:52:06.000,1.1141185079506862e+18,1.1141185079506862e+18,es,"{'id': '7770846df42e4107', 'url': 'https://api.twitter.com/1.1/geo/id/7770846df42e4107.json', 'place_type': 'city', 'name': 'Astorga', 'full_name': 'Astorga, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.207261, 42.438192], [-6.207261, 42.48913], [-6.030904, 42.48913], [-6.030904, 42.438192]]]}, 'attributes': {}}",Constato con una mezcla de agrado y hambre que es cierto que el chocolate admite muchas interpretaciones. https://t.co/m41ZjjnMyG,Manuel,España,Astorga,"(-6.207261, 42.438192)",Castilla y León,yes,['chocolate'],271.33,59.23,30.53,7.29,20.0,0.53,male,['Dulces']
23,23,23,23,23,36,42,2019-04-05 10:55:40.000,1.1141194050074624e+18,1.1141194050074624e+18,es,"{'id': 'c52827ebd9bfe563', 'url': 'https://api.twitter.com/1.1/geo/id/c52827ebd9bfe563.json', 'place_type': 'city', 'name': 'Jerez de la Frontera', 'full_name': 'Jerez de la Frontera, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.306111, 36.516968], [-6.306111, 36.864413], [-5.455137, 36.864413], [-5.455137, 36.516968]]]}, 'attributes': {}}",Iyo tío de buena mañana ya de  mala leche,celia,España,Jerez de la Frontera,"(-6.306111, 36.516968)",Andalucía,yes,['leche'],65.0,4.7,3.8,3.06,14.0,0.0,female,['Productos lacteos']
24,24,24,24,24,37,43,2019-04-05 10:56:03.000,1.1141195040014788e+18,1.1141195040014788e+18,es,"{'id': '715325aceccc7851', 'url': 'https://api.twitter.com/1.1/geo/id/715325aceccc7851.json', 'place_type': 'city', 'name': 'Sabadell', 'full_name': 'Sabadell, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[2.046492, 41.506472], [2.046492, 41.591238], [2.150242, 41.591238], [2.150242, 41.506472]]]}, 'attributes': {}}",Si no habéis probado la maracuyá no se qué hacéis con vuestra vida. Mi fruta favorita ever.,Monti,España,Sabadell,"(2.046492, 41.506472)",Cataluña,yes,['fruta'],107.0,50.0,0.1,0.9,0.0,1.1,male,['Frutas']
25,25,25,25,25,38,45,2019-04-05 10:56:55.000,1.1141197207798824e+18,1.1141197207798824e+18,es,"{'id': 'c9813d7bd901ad0c', 'url': 'https://api.twitter.com/1.1/geo/id/c9813d7bd901ad0c.json', 'place_type': 'city', 'name': 'Majadahonda', 'full_name': 'Majadahonda, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.945024, 40.441901], [-3.945024, 40.501588], [-3.834244, 40.501588], [-3.834244, 40.441901]]]}, 'attributes': {}}",#menúdeldía 1. Aguacate tropical o panuchos yucatecos 2.Enchiladas suizas o #tacos Metepec #centralmexicana,Central,España,Majadahonda,"(-3.945024, 40.441901)",Madrid,yes,['Aguacate'],137.0,0.4,12.0,1.5,0.0,6.3,male,['Vegetales']
26,26,26,26,26,39,46,2019-04-05 10:57:35.000,1.1141198880318916e+18,1.1141198880318916e+18,es,"{'id': '6cd24d59ee4dfbab', 'url': 'https://api.twitter.com/1.1/geo/id/6cd24d59ee4dfbab.json', 'place_type': 'city', 'name': 'Valverde del Camino', 'full_name': 'Valverde del Camino, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-6.8619509999999995, 37.493072], [-6.8619509999999995, 37.630892], [-6.580483, 37.630892], [-6.580483, 37.493072]]]}, 'attributes': {}}",La Tortilla de patatas y la carne roja muy poco hechas por dentro.,Plácido,España,Valverde del Camino,"(-6.8619509999999995, 37.493072)",Andalucía,yes,"['carne', 'patatas', 'carne roja', 'Tortilla de patatas', 'Tortilla']",1024.75,59.16,64.69999999999999,70.03,674.7,4.8,,"['Carnes', 'Vegetales', 'Carnes', 'Productos avicolas', 'Productos avícolas']"
27,27,27,27,27,40,47,2019-04-05 10:57:56.000,1.1141199749294858e+18,1.1141199749294858e+18,es,"{'id': '206c436ce43a43a3', 'url': 'https://api.twitter.com/1.1/geo/id/206c436ce43a43a3.json', 'place_type': 'city', 'name': 'Madrid', 'full_name': 'Madrid, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-3.889005, 40.312071], [-3.889005, 40.643518], [-3.51801, 40.643518], [-3.51801, 40.312071]]]}, 'attributes': {}}",Xa che dixen: O cocido é a poción máxica😜,Xabier,España,Madrid,"(-3.889005, 40.312071)",Madrid,yes,['cocido'],202.0,7.69,12.07,15.16,47.0,1.6,male,['Carnes']
28,28,28,28,28,42,49,2019-04-05 10:59:21.000,1.1141203330476032e+18,1.1141203330476032e+18,es,"{'id': '0ecc927a9d70af7b', 'url': 'https://api.twitter.com/1.1/geo/id/0ecc927a9d70af7b.json', 'place_type': 'city', 'name': 'Rubí', 'full_name': 'Rubí, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[1.97866, 41.461496], [1.97866, 41.543359], [2.055758, 41.543359], [2.055758, 41.461496]]]}, 'attributes': {}}","Durum solo lechuga con 2 salsas, 2 quesos y patatas, gracias",Phosky,España,Rubí,"(1.97866, 41.461496)",Cataluña,yes,"['queso', 'salsa', 'patatas', 'lechuga']",1103.455,60.93,85.53999999999999,47.32,92.46000000000001,6.64,,"['Productos lacteos', 'Sopas', 'Vegetales', 'Vegetales']"
29,29,29,29,29,43,50,2019-04-05 11:00:04.000,1.114120515096961e+18,1.114120515096961e+18,es,"{'id': '2e858e47881ddc48', 'url': 'https://api.twitter.com/1.1/geo/id/2e858e47881ddc48.json', 'place_type': 'city', 'name': 'Alicante', 'full_name': 'Alicante, España', 'country_code': 'ES', 'country': 'España', 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-0.6564329999999999, 38.160348], [-0.6564329999999999, 38.537463], [-0.37460899999999997, 38.537463], [-0.37460899999999997, 38.160348]]]}, 'attributes': {}}",Nestlé apuesta por la hamburguesa vegana para entrar en un mercado que moverá miles de millones de euros en muy poc… https://t.co/klivz0akNy,Alicante,España,Alicante,"(-0.6564329999999999, 38.160348)",Comunidad Valenciana,yes,['hamburguesa'],510.0,47.5,25.2,22.76,59.0,4.1,,['Comida rapida']
